"Name","CapacityKB","CapacityGB","StorageFormat","Filename","Id","CName","CType","CId"
"Hard disk 1","20971520","20","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869.vmdk","VirtualMachine-vm-1104/2000","SCSI controller 0","VirtualLsiLogic","SCSI[0:0]"
"Hard disk 2","33554432","32","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_6.vmdk","VirtualMachine-vm-1104/2001","SCSI controller 0","VirtualLsiLogic","SCSI[0:1]"
"Hard disk 3","83886080","80","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_2.vmdk","VirtualMachine-vm-1104/2002","SCSI controller 0","VirtualLsiLogic","SCSI[0:2]"
"Hard disk 4","84934656","81","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_3.vmdk","VirtualMachine-vm-1104/2003","SCSI controller 0","VirtualLsiLogic","SCSI[0:3]"
"Hard disk 5","5242880","5","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_4.vmdk","VirtualMachine-vm-1104/2004","SCSI controller 0","VirtualLsiLogic","SCSI[0:4]"
"Hard disk 6","23068672","22","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_5.vmdk","VirtualMachine-vm-1104/2005","SCSI controller 0","VirtualLsiLogic","SCSI[0:5]"
"Hard disk 7","10485760","10","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_10.vmdk","VirtualMachine-vm-1104/2006","SCSI controller 0","VirtualLsiLogic","SCSI[0:6]"
"Hard disk 8","20971520","20","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_27.vmdk","VirtualMachine-vm-1104/2008","SCSI controller 0","VirtualLsiLogic","SCSI[0:8]"
"Hard disk 9","3145728","3","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_28.vmdk","VirtualMachine-vm-1104/2009","SCSI controller 0","VirtualLsiLogic","SCSI[0:9]"
"Hard disk 10","10485760","10","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_1.vmdk","VirtualMachine-vm-1104/2010","SCSI controller 0","VirtualLsiLogic","SCSI[0:10]"
"Hard disk 11","51380224","49","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_7.vmdk","VirtualMachine-vm-1104/2016","SCSI controller 1","ParaVirtual","SCSI[1:0]"
"Hard disk 12","39845888","38","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_23.vmdk","VirtualMachine-vm-1104/2017","SCSI controller 1","ParaVirtual","SCSI[1:1]"
"Hard disk 13","20971520","20","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_11.vmdk","VirtualMachine-vm-1104/2018","SCSI controller 1","ParaVirtual","SCSI[1:2]"
"Hard disk 14","6291456","6","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_19.vmdk","VirtualMachine-vm-1104/2032","SCSI controller 2","ParaVirtual","SCSI[2:0]"
"Hard disk 15","6291456","6","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_26.vmdk","VirtualMachine-vm-1104/2033","SCSI controller 2","ParaVirtual","SCSI[2:1]"
"Hard disk 16","157286400","150","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_8.vmdk","VirtualMachine-vm-1104/2048","SCSI controller 3","ParaVirtual","SCSI[3:0]"
"Hard disk 17","157286400","150","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_9.vmdk","VirtualMachine-vm-1104/2049","SCSI controller 3","ParaVirtual","SCSI[3:1]"
"Hard disk 18","3145728","3","EagerZeroedThick","[ISXCLS04_NA3_02] VMWL2869/VMWL2869_12.vmdk","VirtualMachine-vm-1104/2011","SCSI controller 0","VirtualLsiLogic","SCSI[0:11]"
